id,title_id,provider_id
1_tm63754,tm63754,1
1_tm172883,tm172883,1
1_tm165374,tm165374,1
1_tm852715,tm852715,1
1_tm132492,tm132492,1
1_tm212196,tm212196,1
1_tm817478,tm817478,1
1_tm834985,tm834985,1
1_tm958350,tm958350,1
1_tm431888,tm431888,1
1_ts53721,ts53721,1
1_tm83262,tm83262,1
1_ts312119,ts312119,1
1_tm64510,tm64510,1
1_tm603904,tm603904,1
1_tm679969,tm679969,1
1_tm461430,tm461430,1
1_tm678676,tm678676,1
1_tm4107,tm4107,1
1_tm955631,tm955631,1
1_tm1145309,tm1145309,1
1_tm244402,tm244402,1
1_ts21930,ts21930,1
1_tm129943,tm129943,1
1_tm83936,tm83936,1
1_tm422800,tm422800,1
1_tm878424,tm878424,1
1_ts108937,ts108937,1
1_tm19006,tm19006,1
1_tm15689,tm15689,1
1_tm103710,tm103710,1
1_tm92451,tm92451,1
1_ts125585,ts125585,1
1_tm1037978,tm1037978,1
1_tm247531,tm247531,1
1_tm128021,tm128021,1
1_tm917842,tm917842,1
1_ts34338,ts34338,1
1_tm935549,tm935549,1
1_tm1093626,tm1093626,1
1_tm46955,tm46955,1
1_tm956298,tm956298,1
1_tm421449,tm421449,1
1_tm855227,tm855227,1
1_tm422686,tm422686,1
1_tm282522,tm282522,1
1_ts31754,ts31754,1
1_tm42148,tm42148,1
1_ts20286,ts20286,1
1_tm54178,tm54178,1
1_tm1072898,tm1072898,1
1_tm1187727,tm1187727,1
1_tm901952,tm901952,1
1_tm1028745,tm1028745,1
1_tm232197,tm232197,1
1_tm75584,tm75584,1
1_tm89134,tm89134,1
1_tm189810,tm189810,1
1_tm965740,tm965740,1
1_tm73861,tm73861,1
1_ts23740,ts23740,1
1_ts15069,ts15069,1
1_tm1040011,tm1040011,1
1_tm20441,tm20441,1
1_ts41545,ts41545,1
1_tm493744,tm493744,1
1_tm179640,tm179640,1
1_tm771437,tm771437,1
1_tm166342,tm166342,1
1_tm406746,tm406746,1
1_tm935412,tm935412,1
